"Active_location","avg_ToSun","avg_ToShade","avg_Tsurface_open","avg_radiation","mean_DF","sd_DF","DF.CI.25","DF.CI97.5","mean_DE","sd_DE","DE.CI.25","DE.CI97.5","n_hours","Round_percentage","season","habitat_loss","climate_change"
"open",31.166232291704,24.3721237040206,26.8029374201788,625.230571519796,-0.533767708295961,1.49743922786719,-2.67494436560118,2.51169465064715,1.35577009824609,0.819181988177797,0.0516312830344818,2.73476297971878,87,0.155913978494624,"Winter","none",1.5
"burrow",20.5002847061219,20.0240873037696,18.2767134751773,249.29645035461,NA,NA,NA,NA,NA,NA,NA,NA,470,0.842293906810036,"Winter","Rock",1.5
"Bush-Small",28.7196384301148,27.7928348725384,26.155,392.79,-2.2813379575738,NA,-2.2813379575738,-2.2813379575738,2.2813379575738,NA,2.2813379575738,2.2813379575738,1,0.0017921146953405,"Winter","Rock",1.5
"open",31.166232291704,25.7384546443689,26.7645785440613,632.065440613027,-0.533767708295961,1.49743922786719,-2.67494436560118,2.51169465064715,1.35577009824609,0.819181988177797,0.0516312830344818,2.73476297971878,87,0.155913978494624,"Winter","Rock",1.5
"burrow",20.5002847061219,19.4509446365446,18.3492940898345,250.712994089835,NA,NA,NA,NA,NA,NA,NA,NA,470,0.842293906810036,"Winter","Bush",1.5
"open",31.166232291704,23.0057927636723,26.8412962962963,618.395702426565,-0.533767708295961,1.49743922786719,-2.67494436560118,2.51169465064715,1.35577009824609,0.819181988177797,0.0516312830344818,2.73476297971878,87,0.155913978494624,"Winter","Bush",1.5
"Rock-Small",28.7196384301148,25.3149180326337,25.6333333333333,352.56,-2.9756702375271,NA,-2.9756702375271,-2.9756702375271,2.9756702375271,NA,2.9756702375271,2.9756702375271,1,0.0017921146953405,"Winter","Bush",1.5
"burrow",20.783083655095,20.1357012291595,18.1449412837345,240.476721371262,NA,NA,NA,NA,NA,NA,NA,NA,457,0.818996415770609,"Winter","none",2
"Bush-Large",32.4135824283794,25.5017460961216,27.1008333333333,713.058333333333,-1.91783349693008,1.22917010419553,-2.69063266010682,-0.60360726490101,1.91783349693008,1.22917010419553,0.603607264901011,2.69063266010682,3,0.00537634408602151,"Winter","none",2
"Bush-Small",32.8515243700568,26.0875706932259,27.9075,645.23625,-2.02112529418382,0.773065158580521,-2.74551486265234,-1.09819777435643,2.02112529418382,0.773065158580521,1.09819777435643,2.74551486265234,4,0.00716845878136201,"Winter","none",2
"open",31.1964281668474,24.6734840015376,26.3796897163121,613.318856382979,-0.503571833152613,1.55937475160764,-2.84483541577346,2.36522448666467,1.40953270132494,0.82450908729036,0.0705715996356309,2.91614791234813,94,0.168458781362007,"Winter","none",2
"burrow",20.783083655095,20.3954570316507,18.1098730853392,239.703227571116,NA,NA,NA,NA,NA,NA,NA,NA,457,0.818996415770609,"Winter","Rock",2
"Bush-Large",32.4135824283794,27.3636463223715,26.8038888888889,703.377777777778,-1.91783349693008,1.22917010419553,-2.69063266010682,-0.60360726490101,1.91783349693008,1.22917010419553,0.603607264901011,2.69063266010682,3,0.00537634408602151,"Winter","Rock",2
"Bush-Small",32.8515243700568,27.5873763412014,27.8645833333333,650.275,-2.02112529418382,0.773065158580521,-2.74551486265234,-1.09819777435643,2.02112529418382,0.773065158580521,1.09819777435643,2.74551486265234,4,0.00716845878136201,"Winter","Rock",2
"open",31.1964281668474,26.00174102571,26.347304964539,620.172411347518,-0.503571833152613,1.55937475160764,-2.84483541577346,2.36522448666467,1.40953270132494,0.82450908729036,0.0705715996356309,2.91614791234813,94,0.168458781362007,"Winter","Rock",2
"burrow",20.783083655095,19.8779101035189,18.1800094821298,241.250215171408,NA,NA,NA,NA,NA,NA,NA,NA,457,0.818996415770609,"Winter","Bush",2
"open",31.2981296282081,23.4031874620093,26.5022772277228,611.254900990099,-0.401870371791882,1.67715116125191,-2.84330378727863,2.87269079168039,1.48328741393451,0.868221079858183,0.0791378338931459,3.03430581913192,101,0.181003584229391,"Winter","Bush",2
"burrow",21.0686191519571,20.5645271360013,17.9826547797798,229.903330205205,NA,NA,NA,NA,NA,NA,NA,NA,444,0.795698924731183,"Winter","none",2.5
"Bush-Large",32.797044572476,25.7260447355624,26.8695238095238,724.976785714286,-1.83671226940275,0.910397678476859,-2.77451997825036,-0.218024552749623,1.83671226940275,0.910397678476859,0.218024552749622,2.77451997825036,7,0.0125448028673835,"Winter","none",2.5
"Bush-Small",33.707290489645,26.5152694304479,28.1298484848485,661.748560606061,-1.64723386335907,0.790288514970153,-2.67192785648517,-0.262376540106875,1.64723386335907,0.790288514970153,0.262376540106875,2.67192785648517,11,0.0197132616487455,"Winter","none",2.5
"open",31.1242242677844,24.7796331004692,25.8650810185185,602.487540509259,-0.575775732215587,1.55882548055805,-2.91515423206055,2.58272861334823,1.41502672293666,0.861142704349338,0.178572173943399,2.9190260858784,96,0.172043010752688,"Winter","none",2.5
"burrow",21.0686191519571,20.7932523471542,17.9503536036036,229.387240990991,NA,NA,NA,NA,NA,NA,NA,NA,444,0.795698924731183,"Winter","Rock",2.5
"Bush-Large",32.797044572476,27.3485082319391,26.5845238095238,711.242380952381,-1.83671226940275,0.910397678476859,-2.77451997825036,-0.218024552749623,1.83671226940275,0.910397678476859,0.218024552749622,2.77451997825036,7,0.0125448028673835,"Winter","Rock",2.5
"Bush-Small",33.707290489645,28.1053018895006,28.1598484848485,665.905303030303,-1.64723386335907,0.790288514970153,-2.67192785648517,-0.262376540106875,1.64723386335907,0.790288514970153,0.262376540106875,2.67192785648517,11,0.0197132616487455,"Winter","Rock",2.5
"open",31.1242242677844,26.0780680014583,25.8221006944444,608.335677083333,-0.575775732215587,1.55882548055805,-2.91515423206055,2.58272861334823,1.41502672293666,0.861142704349338,0.178572173943399,2.9190260858784,96,0.172043010752688,"Winter","Rock",2.5
"burrow",21.150581377515,20.3618521266137,18.0791881680338,233.753811831966,NA,NA,NA,NA,NA,NA,NA,NA,447,0.801075268817204,"Winter","Bush",2.5
"open",31.4274059893736,23.6517422738954,26.1585335335335,608.109364364364,-0.272594010626349,1.74487122054435,-2.9151083190409,2.96434364258498,1.52612444877885,0.877114317283815,0.179703057501648,2.98421951455585,111,0.198924731182796,"Winter","Bush",2.5
"burrow",21.3968353139477,20.9861202716393,17.8388230690275,223.50148960739,NA,NA,NA,NA,NA,NA,NA,NA,433,0.775985663082437,"Winter","none",3
