"Active_location","avg_ToSun","avg_ToShade","avg_Tsurface_open","avg_radiation","mean_DF","sd_DF","DF.CI.25","DF.CI97.5","mean_DE","sd_DE","DE.CI.25","DE.CI97.5","n_hours","Round_percentage","season","habitat_loss","climate_change"
"open",35.647025025191,35.5260984388613,35.1847811447811,152.938741133558,0.347025025190993,1.11247718809707,-2.24775023590745,2.11115269616868,0.952024839489735,0.666078767885999,0.0289508721109204,2.38544633014381,99,0.122676579925651,"Summer","Rock",0
"burrow",45.5404693691635,39.9285515867126,43.8102032520325,399.175576051103,NA,NA,NA,NA,NA,NA,NA,NA,287,0.356079404466501,"Summer","Bush",0
"open",35.5922156704921,35.9118709235209,35.4434205426357,178.255110852713,0.292215670492077,1.09507264737267,-2.12266405756216,2.21248246017167,0.911521887917887,0.667031911281856,0.0286166417819418,2.34647775151953,86,0.106699751861042,"Summer","Bush",0
"Rock-Large",47.2045491412345,36.8884712926528,44.7525754458162,608.820402149063,0.57290016429306,1.24285026629406,-2.09545993208905,2.38891163645431,1.11253872357638,0.794600900970942,0.00754517212954191,2.46256413650248,243,0.301488833746898,"Summer","Bush",0
"Rock-Medium",45.8048686308581,35.4405879901443,43.3386034482759,664.095489655172,-0.156997808187621,1.27022474090459,-2.53421257152911,2.17966999533283,1.00488299800178,0.788345167993318,0.0218311544365449,2.53421257152911,145,0.179900744416873,"Summer","Bush",0
"Rock-Small",43.0122241036179,34.4190085894075,41.2563148148148,552.865166666667,-0.577826987937428,0.984481377051539,-2.73769385420989,0.639960041667508,0.806353831005977,0.803549601370864,0.0507451940470041,2.73769385420989,45,0.0558312655086849,"Summer","Bush",0
"burrow",47.7310652556072,42.0400112863448,45.4511255695759,467.776750329478,NA,NA,NA,NA,NA,NA,NA,NA,317,0.392812887236679,"Summer","none",0.5
"Bush-Large",42.4351169532731,34.4615220259185,39.5403496732026,535.60129130719,0.0476713683746259,0.488387762985678,-0.935332135536223,0.633021441486894,0.384237849802791,0.289950091929015,0.0135302438437378,0.935332135536223,17,0.0210656753407683,"Summer","none",0.5
"Bush-Medium",43.2274537564684,34.9135594784993,40.3710453216374,538.487397660819,-0.289376003879592,0.630025887903969,-1.41549308849015,0.643200363914704,0.505953913626272,0.463801934436659,0.0263852818516643,1.41549308849015,19,0.023543990086741,"Summer","none",0.5
"Bush-Small",43.5404792722036,35.7230392865996,40.1374459876543,613.245077160494,0.087382068855147,0.377093352528017,-0.653581676537365,0.675491188294333,0.275256346279565,0.264690940430096,0.0272428534765112,0.860071194603001,18,0.0223048327137546,"Summer","none",0.5
"open",35.8815654029047,36.1767904766771,35.1074765512266,158.660685425685,0.58156540290466,1.08461562139304,-1.84826097167461,2.13899926637356,1.06209928960711,0.613320370134102,0.0570780817507803,2.42930757415711,77,0.0954151177199504,"Summer","none",0.5
"Rock-Large",47.5514453519392,37.9840565261247,44.5126030927835,601.588218499427,0.761422139734035,1.14027424055561,-1.93601657156038,2.42843685293783,1.12591520338176,0.780217670854668,0.0256022773679247,2.43427827866931,194,0.240396530359356,"Summer","none",0.5
"Rock-Medium",44.3579060101452,36.4287576912729,41.226700617284,594.230114403292,-0.10902578537908,1.44403476675287,-2.72159211719046,2.27426218164347,1.17241269450578,0.844039313156038,0.0398600952719963,2.72159211719046,135,0.16728624535316,"Summer","none",0.5
"Rock-Small",40.3068540291116,34.8980628465663,38.1089074074074,403.791240740741,-0.482038046762843,1.01463355043034,-2.3576234223115,0.882377641905221,0.758391909060795,0.821500471845923,0.0102063823900012,2.3576234223115,30,0.0371747211895911,"Summer","none",0.5
