"round_dt","microhabitat","avg_Tsurface_open","avg_ToSun","avg_ToShade","avg_radiation","de","df","season","climate_change"
"2022-01-24 11:00:00","burrow",17.5841666666667,24.652919056269,24.7883183521041,445.534166666667,NA,NA,"Winter",5
"2022-01-24 12:00:00","burrow",18.4969444444444,24.3970796364247,24.6143041513934,282.441944444444,NA,NA,"Winter",5
"2022-01-24 13:00:00","burrow",19.6875,28.1570496310809,24.3607536998096,676.018888888889,NA,NA,"Winter",5
"2022-01-24 14:00:00","burrow",19.4463888888889,24.7867581228133,24.5850553925042,207.020555555556,NA,NA,"Winter",5
"2022-01-24 15:00:00","burrow",17.7963888888889,22.4369635410702,22.1386613275344,83.2730555555556,NA,NA,"Winter",5
"2022-01-24 16:00:00","burrow",16.9752777777778,21.6082283152904,21.5498394282095,80.0619444444444,NA,NA,"Winter",5
"2022-01-24 17:00:00","burrow",15.6311111111111,19.9242278266114,20.2636414816993,25.1922222222222,NA,NA,"Winter",5
"2022-01-25 07:00:00","burrow",11.3311111111111,15.6052783866044,16.8986433579856,21.8416666666667,NA,NA,"Winter",5
"2022-01-25 08:00:00","burrow",12.1380555555556,17.2436209093266,18.5295872300098,136.992222222222,NA,NA,"Winter",5
"2022-01-25 09:00:00","burrow",13.5675,19.7947865380206,20.5536237826909,300.625277777778,NA,NA,"Winter",5
"2022-01-25 10:00:00","burrow",15.0388888888889,22.1475570720584,21.5433121405037,437.776944444444,NA,NA,"Winter",5
"2022-01-25 11:00:00","open",21.0377777777778,29.0156121812597,23.2779651138281,631.543888888889,2.68438781874027,-2.68438781874027,"Winter",5
"2022-01-25 12:00:00","open",23.2397222222222,31.3078143099343,23.5462485640917,664.729722222222,0.392185690065673,-0.392185690065673,"Winter",5
"2022-01-25 13:00:00","open",23.6661111111111,31.4500180406202,24.045229408448,620.385277777778,0.249981959379799,-0.249981959379799,"Winter",5
"2022-01-25 14:00:00","open",23.0002777777778,30.1245991457176,24.0448840369948,509.971388888889,1.57540085428244,-1.57540085428244,"Winter",5
"2022-01-25 15:00:00","burrow",21.4413888888889,27.7443940490066,24.5431419529721,364.566111111111,NA,NA,"Winter",5
"2022-01-25 16:00:00","burrow",19.6694444444444,24.8815857337259,23.7737619440114,184.376388888889,NA,NA,"Winter",5
"2022-01-25 17:00:00","burrow",16.0927777777778,20.3863440835466,22.3755079774828,21.7186111111111,NA,NA,"Winter",5
"2022-01-26 07:00:00","burrow",8.52777777777778,12.8477946465093,17.1524563062662,21.9872222222222,NA,NA,"Winter",5
"2022-01-26 08:00:00","burrow",11.0716666666667,16.4739189877997,18.7305029274004,196.524444444444,NA,NA,"Winter",5
"2022-01-26 09:00:00","burrow",14.8116666666667,21.2944802046285,21.2223807012333,388.315833333333,NA,NA,"Winter",5
"2022-01-26 10:00:00","burrow",18.7986111111111,26.2663624861748,22.4625177031221,565.388055555556,NA,NA,"Winter",5
"2022-01-26 11:00:00","burrow",21.3319444444444,28.5838441426909,23.3271195734349,543.796944444444,NA,NA,"Winter",5
