"round_dt","microhabitat","avg_Tsurface_open","avg_ToSun","avg_ToShade","avg_radiation","de","season","climate_change"
"2022-01-15 17:00:00","burrow",17.1266666666667,16.3008192338961,18.3474041012315,13.8933333333333,NA,"Winter",0
"2022-01-16 08:00:00","burrow",14.7738888888889,14.0340679370112,16.0932600003466,46.3633333333333,NA,"Winter",0
"2022-01-16 09:00:00","burrow",15.065,14.2330812066895,15.9766313851354,32.2788888888889,NA,"Winter",0
"2022-01-16 10:00:00","burrow",15.6427777777778,14.8135121302216,16.6145681553816,34.83,NA,"Winter",0
"2022-01-16 11:00:00","burrow",16.2605555555556,15.3823709075502,17.0260998152944,22.5383333333333,NA,"Winter",0
"2022-01-16 12:00:00","burrow",16.265,15.5335859980243,17.0661537344833,26.3211111111111,NA,"Winter",0
"2022-01-16 13:00:00","burrow",16.5583333333333,16.0574979961578,17.2856826332166,57.4788888888889,NA,"Winter",0
"2022-01-16 14:00:00","burrow",16.0666666666667,15.4891299641397,16.9836975905309,35.4011111111111,NA,"Winter",0
"2022-01-16 15:00:00","burrow",15.8327777777778,15.171912060051,16.4462509204119,27.4072222222222,NA,"Winter",0
"2022-01-16 16:00:00","burrow",15.1966666666667,14.4283843676514,16.2049029732826,8.31666666666667,NA,"Winter",0
"2022-01-16 17:00:00","burrow",14.84,14.1052700577337,16.4887869785576,5.53,NA,"Winter",0
"2022-01-17 07:00:00","burrow",6.819,6.07243412722676,11.6532597932407,19.55,NA,"Winter",0
"2022-01-17 08:00:00","burrow",9.059,8.62306219770165,13.1333357826464,89.2744444444444,NA,"Winter",0
"2022-01-17 09:00:00","burrow",12.4077777777778,12.1782009309865,14.157789640965,150.470555555556,NA,"Winter",0
"2022-01-17 10:00:00","burrow",15.3044444444444,15.2102138094344,14.7965641548875,186.725555555556,NA,"Winter",0
"2022-01-17 11:00:00","burrow",18.0883333333333,18.0328542926394,15.7414346064291,202.24,NA,"Winter",0
"2022-01-17 12:00:00","burrow",19.4055555555556,19.2192460755557,16.3099079191476,189.452777777778,NA,"Winter",0
"2022-01-17 13:00:00","burrow",19.7966666666667,19.3309967007885,16.7208496740437,162.462222222222,NA,"Winter",0
"2022-01-17 14:00:00","burrow",19.2811111111111,18.6775885701032,17.1893348429659,135.985555555556,NA,"Winter",0
"2022-01-17 15:00:00","burrow",17.3994444444444,16.7016757289204,17.2343753440324,101.894444444444,NA,"Winter",0
"2022-01-17 16:00:00","burrow",14.2605555555556,13.4292318714218,16.4375506108283,49.8038888888889,NA,"Winter",0
"2022-01-17 17:00:00","burrow",11.32,10.4311439843564,16.0095103839475,16.14,NA,"Winter",0
"2022-01-18 07:00:00","burrow",5.031,4.21117071258232,10.9340169479456,18.49,NA,"Winter",0
"2022-01-18 08:00:00","burrow",7.72261111111111,7.28112881380005,13.5209469942053,91.3383333333333,NA,"Winter",0
"2022-01-18 09:00:00","burrow",11.8488888888889,11.6724813285704,14.0960689794824,150.175555555556,NA,"Winter",0
"2022-01-18 10:00:00","burrow",15.325,15.2790153483185,14.6768053208779,184.478888888889,NA,"Winter",0
"2022-01-18 11:00:00","burrow",18.3466666666667,18.3342565351013,15.4638038456468,201.458888888889,NA,"Winter",0
"2022-01-18 12:00:00","burrow",20.3711111111111,20.1644773375435,16.1843318356781,188.803333333333,NA,"Winter",0
"2022-01-18 13:00:00","burrow",20.9233333333333,20.4939862419748,16.9563514842538,160.51,NA,"Winter",0
"2022-01-18 14:00:00","burrow",20.1022222222222,19.4913366432559,17.2420059866,134.821666666667,NA,"Winter",0
"2022-01-18 15:00:00","burrow",18.2955555555556,17.5752872979578,17.3325204165048,100.675,NA,"Winter",0
"2022-01-18 16:00:00","burrow",20.3461111111111,19.616729435776,16.6026501219409,144.547777777778,NA,"Winter",0
"2022-01-18 17:00:00","burrow",17.8633333333333,16.5220366472158,15.9825159065649,15.1461111111111,NA,"Winter",0
"2022-01-19 07:00:00","burrow",13.16,12.1389157860804,13.3826170725394,14.41,NA,"Winter",0
"2022-01-19 08:00:00","burrow",13.8805555555556,13.0219327735322,13.7768903048832,46.5088888888889,NA,"Winter",0
"2022-01-19 09:00:00","burrow",14.535,13.8135880477123,14.2685343894931,73.6927777777778,NA,"Winter",0
"2022-01-19 10:00:00","burrow",15.245,14.9564740748882,14.5514289736895,135.69,NA,"Winter",0
"2022-01-19 11:00:00","burrow",15.9527777777778,16.5476811511491,15.6666564488525,311.728333333333,NA,"Winter",0
"2022-01-19 12:00:00","burrow",18.0727777777778,19.0527263872763,17.0743590732759,373.899444444444,NA,"Winter",0
"2022-01-19 13:00:00","burrow",17.9361111111111,17.4338690347593,16.6787732265249,95.76,NA,"Winter",0
"2022-01-19 14:00:00","burrow",18.0527777777778,17.7287820955941,17.0411337971365,133.995,NA,"Winter",0
"2022-01-19 15:00:00","burrow",17.7394444444444,17.6383315666178,17.2476813808033,178.475555555556,NA,"Winter",0
"2022-01-19 16:00:00","burrow",17.1716666666667,16.7852191660157,16.80762130616,129.008888888889,NA,"Winter",0
"2022-01-19 17:00:00","burrow",16.6233333333333,15.881347536723,16.3663875495227,60.1066666666667,NA,"Winter",0
"2022-01-20 07:00:00","burrow",10.79,10.0094489999069,11.0206950560072,33.94,NA,"Winter",0
"2022-01-20 08:00:00","burrow",11.875,11.3801778278538,11.7811590510957,88.4894444444444,NA,"Winter",0
"2022-01-20 09:00:00","burrow",12.8555555555556,13.1265234827887,13.1974583279618,227.501666666667,NA,"Winter",0
