"round_dt","microhabitat","avg_Tsurface_open","avg_ToSun","avg_ToShade","avg_radiation","de","df","season","climate_change"
"2020-07-09 08:00:00","burrow",36.3616666666667,44.923327241816,38.3329084772771,545.385833333333,NA,NA,"Summer",5.5
"2020-07-09 09:00:00","burrow",39.9841666666667,49.6990651372885,39.513768285404,726.145,NA,NA,"Summer",5.5
"2020-07-09 10:00:00","burrow",44.235,54.4259633370306,40.4352720488549,879.554166666667,NA,NA,"Summer",5.5
"2020-07-09 11:00:00","burrow",47.155,57.5296347151649,41.614401688195,979.815833333333,NA,NA,"Summer",5.5
"2020-07-09 12:00:00","burrow",48.4125,59.0205354260562,42.6477448505065,1003.41333333333,NA,NA,"Summer",5.5
"2020-07-09 13:00:00","burrow",49.6233333333333,59.8075491039474,43.714131426293,967.95,NA,NA,"Summer",5.5
"2020-07-09 14:00:00","burrow",48.0925,57.6205070894321,44.7368345001752,875.393333333333,NA,NA,"Summer",5.5
"2020-07-09 15:00:00","burrow",45.0633333333333,53.8484288640859,45.3009074308619,729.4475,NA,NA,"Summer",5.5
"2020-07-09 16:00:00","burrow",42.4858333333333,50.3127020271116,45.765782480274,524.303333333333,NA,NA,"Summer",5.5
"2020-07-09 17:00:00","burrow",40.1316666666667,46.4116178175099,45.715883600346,274.818333333333,NA,NA,"Summer",5.5
"2020-07-09 18:00:00","burrow",38.4491666666667,43.8847642694415,45.0903287851174,131.988333333333,NA,NA,"Summer",5.5
"2020-07-09 19:00:00","burrow",36.6716666666667,41.498386451225,44.2142806909392,13.5933333333333,NA,NA,"Summer",5.5
"2020-07-10 05:00:00","Rock-Large",29.0841666666667,34.1886179890513,36.2055806406522,10.9475,0.0494450192780249,0.0494450192780249,"Summer",5.5
"2020-07-10 06:00:00","Rock-Large",30.6925,36.7439052743678,35.8159383187322,122.301666666667,0.117793859755125,-0.117793859755125,"Summer",5.5
"2020-07-10 07:00:00","Rock-Medium",34.3666666666667,41.4810976654047,36.1201566632663,317.734166666667,0.438656007944381,0.438656007944381,"Summer",5.5
"2020-07-10 08:00:00","Rock-Medium",35.9025,44.4216534719814,38.0357218428874,536.285833333333,2.35794589784768,2.35794589784768,"Summer",5.5
"2020-07-10 09:00:00","burrow",40.2233333333333,49.6394940582958,39.3789958938268,718.406666666667,NA,NA,"Summer",5.5
"2020-07-10 10:00:00","burrow",44.0658333333333,54.5373735658488,40.4131011226629,879.05,NA,NA,"Summer",5.5
"2020-07-10 11:00:00","burrow",46.7091666666667,57.3660815803417,41.3550344244391,974.9875,NA,NA,"Summer",5.5
"2020-07-10 12:00:00","burrow",48.125,58.5687016747103,42.554227057923,1011.835,NA,NA,"Summer",5.5
"2020-07-10 13:00:00","burrow",49.1516666666667,59.3774121129853,43.3193820974955,976.23,NA,NA,"Summer",5.5
"2020-07-10 14:00:00","burrow",47.7166666666667,57.2619513205426,44.2776504168583,881.569166666667,NA,NA,"Summer",5.5
"2020-07-10 15:00:00","burrow",45.1633333333333,53.9446011579335,45.1071491376405,730.9575,NA,NA,"Summer",5.5
"2020-07-10 16:00:00","burrow",42.7141666666667,50.4905731496504,45.6211241108898,538.395833333333,NA,NA,"Summer",5.5
"2020-07-10 17:00:00","burrow",40.7575,47.230352673338,46.0270743553248,324.254166666667,NA,NA,"Summer",5.5
"2020-07-10 18:00:00","burrow",38.8991666666667,44.4693761737633,45.7614980378059,128.450833333333,NA,NA,"Summer",5.5
"2020-07-10 19:00:00","burrow",37.4366666666667,42.3951278194048,44.9048177297436,14.4433333333333,NA,NA,"Summer",5.5
"2020-07-11 05:00:00","Rock-Large",29.2483333333333,34.3319174779672,36.4454745424494,10.2025,0.525373500555055,0.525373500555055,"Summer",5.5
"2020-07-11 06:00:00","Rock-Small",31.0758333333333,37.1470933369463,36.9207160382857,119.18,1.58850433107401,1.58850433107401,"Summer",5.5
"2020-07-11 07:00:00","Rock-Small",34.6225,41.7209716741563,37.775502671958,322.555833333333,1.77105269938637,1.77105269938637,"Summer",5.5
"2020-07-11 08:00:00","burrow",36.2841666666667,44.980446341431,38.7443223771514,541.5425,NA,NA,"Summer",5.5
"2020-07-11 09:00:00","burrow",40.4933333333333,50.0699778756869,39.7504818146408,724.4,NA,NA,"Summer",5.5
"2020-07-11 10:00:00","burrow",44.8458333333333,55.254647418932,40.9134147570179,884.716666666667,NA,NA,"Summer",5.5
"2020-07-11 11:00:00","burrow",48.3766666666667,58.8708236469704,42.0229275932586,973.729166666667,NA,NA,"Summer",5.5
"2020-07-11 12:00:00","burrow",50.3091666666667,60.7673675025115,43.0120798731259,1001.15333333333,NA,NA,"Summer",5.5
"2020-07-11 13:00:00","burrow",50.8008333333333,60.8545293682336,44.0460244470497,973.78,NA,NA,"Summer",5.5
"2020-07-11 14:00:00","burrow",49.6825,59.168119517199,44.978388543972,877.683333333333,NA,NA,"Summer",5.5
"2020-07-11 15:00:00","burrow",45.8683333333333,54.6618704564765,45.9302191218739,728.334166666667,NA,NA,"Summer",5.5
"2020-07-11 16:00:00","burrow",43.2391666666667,51.0899809736539,46.6052831331136,540.783333333333,NA,NA,"Summer",5.5
"2020-07-11 17:00:00","burrow",41.4466666666667,48.130874795147,46.7072635961848,340.208333333333,NA,NA,"Summer",5.5
"2020-07-11 18:00:00","burrow",39.6741666666667,45.1793484890387,46.4176649974829,141.5575,NA,NA,"Summer",5.5
"2020-07-11 19:00:00","burrow",37.2375,42.0166816455035,45.6142964052865,12.3791666666667,NA,NA,"Summer",5.5
"2020-07-12 05:00:00","open",29.9233333333333,34.9720026496649,37.9504270272835,11.1341666666667,0.327997350335146,-0.327997350335146,"Summer",5.5
"2020-07-12 06:00:00","Rock-Small",31.74,37.7823197657119,37.5481804856574,120.955,1.67511312962053,1.67511312962053,"Summer",5.5
"2020-07-12 07:00:00","Rock-Small",34.9633333333333,41.8037853594182,38.1566803620539,313.734533333333,1.9705688132272,1.9705688132272,"Summer",5.5
"2020-07-12 11:00:00","burrow",49.74,60.1128145673476,42.249235787021,998.1935,NA,NA,"Summer",5.5
"2020-07-12 12:00:00","burrow",50.51,60.8744402176472,43.5718178780384,1001.286,NA,NA,"Summer",5.5
"2020-07-12 14:00:00","burrow",48.46,57.6730206359212,45.7044770647123,761.6667,NA,NA,"Summer",5.5
"2020-07-20 11:00:00","burrow",49.42,59.5179369041995,42.4857742699903,969.38,NA,NA,"Summer",5.5
"2020-07-20 12:00:00","burrow",50.0925,60.4213404422006,43.6048569981499,971.389166666667,NA,NA,"Summer",5.5
"2020-07-20 13:00:00","burrow",52.2308333333333,62.1293443471187,44.7321993338279,935.56,NA,NA,"Summer",5.5
"2020-07-20 14:00:00","burrow",52.2183333333333,61.1904157903867,45.4804654975729,837.923333333333,NA,NA,"Summer",5.5
"2020-07-20 15:00:00","burrow",51.1833333333333,59.4288422466542,46.3289015874558,676.774166666667,NA,NA,"Summer",5.5
"2020-07-20 16:00:00","burrow",48.3425,55.4467959008165,46.8968141638725,475.820833333333,NA,NA,"Summer",5.5
"2020-07-20 17:00:00","burrow",44.2958333333333,50.2276799846878,47.224967081269,268.2025,NA,NA,"Summer",5.5
"2020-07-20 18:00:00","burrow",41.3283333333333,46.6597820599602,46.7285494312079,100.106666666667,NA,NA,"Summer",5.5
"2020-07-20 19:00:00","burrow",39.1025,43.9000845975746,46.0701238586581,10.725,NA,NA,"Summer",5.5
"2020-07-21 05:00:00","open",30.54,35.7152205849047,37.7788081905371,7.39666666666667,0.415220584904738,0.415220584904738,"Summer",5.5
"2020-07-21 06:00:00","open",31.4583333333333,37.3903687772186,37.8906419001114,97.5833333333333,2.09036877721859,2.09036877721859,"Summer",5.5
"2020-07-21 07:00:00","burrow",33.9025,41.1096081139387,38.7283310590983,291.533333333333,NA,NA,"Summer",5.5
"2020-07-21 08:00:00","burrow",35.5158333333333,43.992446849992,39.6340380600093,514.585833333333,NA,NA,"Summer",5.5
